id,clave,name,descripcion
__export__.unidadesmedida_K65,K65,pound (avoirdupois) square foot,
__export__.unidadesmedida_NEW,NEW,newton,
__export__.unidadesmedida_B73,B73,meganewton,
__export__.unidadesmedida_B47,B47,kilonewton,
__export__.unidadesmedida_C20,C20,millinewton,
__export__.unidadesmedida_B92,B92,micronewton,
__export__.unidadesmedida_C78,C78,pound-force,
__export__.unidadesmedida_L40,L40,ounce (avoirdupois)-force,
__export__.unidadesmedida_L94,L94,ton-force (US short),
__export__.unidadesmedida_M75,M75,kilopound-force,1000-fold of the unit of the force pound-force (lbf) according to the Anglo-American system of units with the relationship.
__export__.unidadesmedida_M76,M76,poundal,"Non SI-conforming unit of the power, which corresponds to a mass of a pound multiplied with the acceleration of a foot per square second."
__export__.unidadesmedida_M77,M77,kilogram metre per second squared,Product of the SI base unit kilogram and the SI base unit metre divided by the power of the SI base unit second by exponent 2.
__export__.unidadesmedida_M78,M78,pond,"0,001-fold of the unit of the weight, defined as a mass of 1 kg which finds out about a weight strength from 1 kp by the gravitational force at sea level which corresponds to a strength of 9,806 65 newton."
__export__.unidadesmedida_F17,F17,pound-force per foot,
__export__.unidadesmedida_F48,F48,pound-force per inch,
__export__.unidadesmedida_C54,C54,newton metre squared per kilogram squared,
__export__.unidadesmedida_NU,NU,newton metre,
__export__.unidadesmedida_H40,H40,newton per ampere,
__export__.unidadesmedida_B74,B74,meganewton metre,
__export__.unidadesmedida_B48,B48,kilonewton metre,
__export__.unidadesmedida_D83,D83,millinewton metre,
__export__.unidadesmedida_B93,B93,micronewton metre,
__export__.unidadesmedida_DN,DN,decinewton metre,
__export__.unidadesmedida_J72,J72,centinewton metre,
__export__.unidadesmedida_M94,M94,kilogram metre,Unit of imbalance as a product of the SI base unit kilogram and the SI base unit metre.
__export__.unidadesmedida_F88,F88,newton centimetre,
__export__.unidadesmedida_F90,F90,newton metre per ampere,
__export__.unidadesmedida_F89,F89,newton metre per degree,
__export__.unidadesmedida_G19,G19,newton metre per kilogram,
__export__.unidadesmedida_F47,F47,newton per millimetre,
__export__.unidadesmedida_M93,M93,newton metre per radian,Product of the derived SI unit newton and the SI base unit metre divided by the unit radian.
__export__.unidadesmedida_H41,H41,"newton metre watt to the power minus 0,5",
__export__.unidadesmedida_IA,IA,inch pound (pound inch),
__export__.unidadesmedida_4Q,4Q,ounce inch,
__export__.unidadesmedida_4R,4R,ounce foot,
__export__.unidadesmedida_F22,F22,pound-force foot per ampere,
__export__.unidadesmedida_F21,F21,pound-force inch,
__export__.unidadesmedida_G20,G20,pound-force foot per pound,
__export__.unidadesmedida_L41,L41,ounce (avoirdupois)-force inch,
__export__.unidadesmedida_M92,M92,pound-force foot,Product of the unit pound-force according to the Anglo-American system of units and the unit foot according to the Anglo-American and the Imperial system of units.
__export__.unidadesmedida_M95,M95,poundal foot,Product of the non SI-conforming unit of the force poundal and the unit foot according to the Anglo-American and Imperial system of units .
