id,clave,name
__export__.prodserv_10201518,10201518,Rosal vivo sanaa
__export__.prodserv_10201519,10201519,Rosal vivo silverstone
__export__.prodserv_10201520,10201520,Rosal vivo soulmate
__export__.prodserv_10201521,10201521,Rosal vivo stranger
__export__.prodserv_10201522,10201522,Rosal vivo tinted blue
__export__.prodserv_10201523,10201523,Rosal vivo two faces
__export__.prodserv_10201600,10201600,Rosales vivos chocolate o marrón
__export__.prodserv_10201601,10201601,Rosal vivo black lava
__export__.prodserv_10201602,10201602,Rosal vivo cimarron
__export__.prodserv_10201603,10201603,Rosal vivo coffee break
__export__.prodserv_10201604,10201604,Rosal vivo estelle
__export__.prodserv_10201605,10201605,Rosal vivo gypsy leonidas
__export__.prodserv_10201606,10201606,Rosal vivo leonidas
__export__.prodserv_10201607,10201607,Rosal vivo matilda
__export__.prodserv_10201608,10201608,Rosal vivo sunny leonidas
__export__.prodserv_10201609,10201609,Rosal vivo terra nostra
__export__.prodserv_10201610,10201610,Rosal vivo terracotta
__export__.prodserv_10201700,10201700,Rosales vivos crema
__export__.prodserv_10201701,10201701,Rosal vivo advenire
__export__.prodserv_10201702,10201702,Rosal vivo alex
__export__.prodserv_10201703,10201703,Rosal vivo antique brass
__export__.prodserv_10201704,10201704,Rosal vivo aubade
__export__.prodserv_10201705,10201705,Rosal vivo beach
__export__.prodserv_10201706,10201706,Rosal vivo belle pearl
__export__.prodserv_10201707,10201707,Rosal vivo blush de los andes
__export__.prodserv_10201708,10201708,Rosal vivo camel
__export__.prodserv_10201709,10201709,Rosal vivo caramel antike o caramel antique
__export__.prodserv_10201710,10201710,Rosal vivo champagne
__export__.prodserv_10201711,10201711,Rosal vivo clear ocean
__export__.prodserv_10201712,10201712,Rosal vivo combo
__export__.prodserv_10201713,10201713,Rosal vivo creme de la creme
__export__.prodserv_10201714,10201714,Rosal vivo emanuella
__export__.prodserv_10201715,10201715,Rosal vivo evolution
__export__.prodserv_10201716,10201716,Rosal vivo fedora
__export__.prodserv_10201717,10201717,Rosal vivo fenice
__export__.prodserv_10201718,10201718,Rosal vivo french vanilla
__export__.prodserv_10201719,10201719,Rosal vivo hollywood
__export__.prodserv_10201720,10201720,Rosal vivo ilios
__export__.prodserv_10201721,10201721,Rosal vivo jelena
__export__.prodserv_10201722,10201722,Rosal vivo kameleon
__export__.prodserv_10201723,10201723,Rosal vivo kentucky
__export__.prodserv_10201724,10201724,Rosal vivo kings pride
__export__.prodserv_10201725,10201725,Rosal vivo latin fusion
